表名(英文)	接口名称(中文)	请求路径	请求方法	请求参数	返回值
PatrolRecord(移动)	上报问题（移动）	/api/mobile/patrol/report	POST	Body: { reservoirName, description, photos, severity, reporterName, reporterRole, latitude, longitude }	Result<Void>
PatrolRecord(Web)	巡检记录列表	/api/web/patrol/records	GET	Query: page, pageSize, status?, inspector?, startDate?, endDate?	Result<PageInfo<PatrolRecord>>
PatrolRecord(Web)	巡检记录详情	/api/web/patrol/records/{id}	GET	Path: id	Result<PatrolRecord>
PatrolRecord(Web)	任务派发	/api/web/patrol/assign	POST	Body: { recordId, inspector, note }	Result<Void>
PatrolRecord(Web)	更新巡检记录	/api/web/patrol/records/{id}	PUT	Path: id; Body: PatrolRecord	Result<Void>
PatrolRecord(Web)	更新巡检状态	/api/web/patrol/records/{id}/status	PUT	Path: id; Query: status, situationDescription?	Result<Void>
PatrolRecord(Web)	删除巡检记录	/api/web/patrol/records/{id}	DELETE	Path: id	Result<Void>
InspectionTask(移动)	待办任务	/api/mobile/tasks/pending	GET	Query: inspectorId?, inspector?	Result<List<InspectionTask>>
InspectionTask(移动)	任务列表	/api/mobile/tasks/list	GET	Query: page, pageSize, status?, assigneeId?, assigneeName?	Result<PageInfo<InspectionTask>>
InspectionTask(移动)	任务详情	/api/mobile/tasks/{id}	GET	Path: id	Result<InspectionTask>
InspectionTask(移动)	接受任务	/api/mobile/tasks/{id}/accept	POST	Query: assigneeId, assigneeName	Result<Void>
InspectionTask(移动)	提交反馈	/api/mobile/tasks/{id}/feedback	POST	Body: { content, photos, inspector, inspectorUsername }	Result<Void>
InspectionTask(移动)	完成任务	/api/mobile/tasks/{id}/complete	POST	Body: { processingResult, description? }	Result<Void>
InspectionTask(Web)	任务列表	/api/web/tasks	GET	Query: 分页 + 筛选	Result<PageInfo<InspectionTask>>
InspectionTask(Web)	创建任务	/api/web/tasks/create	POST	Body: CreateTaskRequest	Result<Void>
InspectionTask(Web)	更新任务	/api/web/tasks/{id}	PUT	Path: id; Body: InspectionTask	Result<Void>
InspectionTask(Web)	删除任务	/api/web/tasks/{id}	DELETE	Path: id	Result<Void>
IssueReport(移动)	我的上报	/api/mobile/reports/my	GET	Query: reporter	Result<List<IssueReport>>
IssueReport(移动)	待处理上报	/api/mobile/reports/pending	GET	无	Result<List<IssueReport>>
IssueReport(移动)	上报详情（移动）	/api/mobile/reports/{id}	GET	Path: id	Result<IssueReport>
IssueReport(移动)	创建上报（移动）	/api/mobile/reports	POST	Body: IssueReport	Result<Void>
IssueReport(移动)	处理上报（移动）	/api/mobile/reports/{id}/process	POST	Body: { processingResult }	Result<Void>
IssueReport(Web)	上报列表	/api/web/reports	GET	Query: page, pageSize, status?, severity?, startDate?, endDate?	Result<PageInfo<IssueReport>>
IssueReport(Web)	创建上报	/api/web/reports	POST	Body: IssueReport	Result<Void>
IssueReport(Web)	转为任务	/api/web/reports/{id}/to-task	POST	Body: { assigneeId, assigneeName, note }	Result<Void>
IssueReport(Web)	标记解决	/api/web/reports/{id}/resolve	POST	Body: { processingResult }	Result<Void>
IssueReport(Web)	指派处理人	/api/web/reports/{id}/assign	POST	Body: { assignedInspector, assignmentNote }	Result<Void>
IssueReport(Web)	删除上报	/api/web/reports/{id}	DELETE	Path: id	Result<Void>
WarningRecord(通用)	预警列表	/api/warnings	GET	Query: page, pageSize, level?, status?, startDate?, endDate?	Result<PageInfo<WarningRecord>>
WarningRecord(通用)	预警详情	/api/warnings/{id}	GET	Path: id	Result<WarningRecord>
WarningRecord(通用)	更新预警	/api/warnings/{id}	PUT	Path: id; Body: WarningRecord	Result<Void>
WarningRecord(通用)	更新预警状态	/api/warnings/{id}/status	PUT	Path: id; Query: status	Result<Void>
WarningRecord(通用)	删除预警	/api/warnings/{id}	DELETE	Path: id	Result<Void>
WarningRecord(通用)	从监测数据生成预警	/api/warnings/generate	POST	无	Result<Void>
WarningRecord(Web)	预警列表	/api/web/warnings	GET	Query: page, pageSize, level?, status?	Result<PageInfo<WarningRecord>>
WarningRecord(Web)	预警详情	/api/web/warnings/{id}	GET	Path: id	Result<WarningRecord>
WarningRecord(Web)	更新预警	/api/web/warnings/{id}	PUT	Path: id; Body: WarningRecord	Result<Void>
WarningRecord(Web)	更新预警状态	/api/web/warnings/{id}/status	PUT	Path: id; Query: status	Result<Void>
WarningRecord(Web)	删除预警	/api/web/warnings/{id}	DELETE	Path: id	Result<Void>
WarningThreshold(通用)	获取预警阈值	/api/warning-thresholds	GET	无	Result<WarningThreshold>
WarningThreshold(通用)	更新预警阈值	/api/warning-thresholds	PUT	Body: WarningThreshold	Result<Void>
WarningThreshold(Web)	获取预警阈值	/api/web/warning-thresholds	GET	无	Result<WarningThreshold>
WarningThreshold(Web)	更新预警阈值	/api/web/warning-thresholds	PUT	Body: WarningThreshold	Result<Void>
Role(通用)	角色列表	/api/roles	GET	无	Result<List<Role>>
Role(通用)	角色详情	/api/roles/{id}	GET	Path: id	Result<Role>
Role(通用)	创建角色	/api/roles	POST	Body: Role	Result<Role>
Role(通用)	更新角色	/api/roles/{id}	PUT	Path: id; Body: Role	Result<Role>
Role(通用)	删除角色	/api/roles/{id}	DELETE	Path: id	Result<Void>
Role(Web)	角色列表	/api/web/roles	GET	无	Result<List<Role>>
Role(Web)	角色详情	/api/web/roles/{id}	GET	Path: id	Result<Role>
Role(Web)	创建角色	/api/web/roles/create	POST	Body: Role	Result<Void>
Role(Web)	更新角色权限	/api/web/roles/{id}/permissions	PUT	Path: id; Body: Role	Result<Void>
Role(Web)	删除角色	/api/web/roles/{id}	DELETE	Path: id	Result<Void>
LayerConfig(通用)	获取全部图层配置	/api/layer-configs	GET	无	Result<List<LayerConfig>>
LayerConfig(通用)	批量更新图层配置	/api/layer-configs	PUT	Body: List<LayerConfig>	Result<Void>
LayerConfig(通用)	获取图层类型列表	/api/layer-configs/types	GET	无	Result<List<String>>
LayerConfig(Web)	获取图层配置列表	/api/web/layer-configs	GET	无	Result<List<LayerConfig>>
LayerConfig(Web)	更新图层配置	/api/web/layer-configs	PUT	Body: List<LayerConfig>	Result<Void>
SimulationConfig	配置列表	/api/simulation-configs	GET	无	Result<List<SimulationConfig>>
SimulationConfig	默认配置	/api/simulation-configs/default	GET	无	Result<SimulationConfig>
SimulationConfig	创建配置	/api/simulation-configs	POST	Body: SimulationConfig	Result<SimulationConfig>
SimulationConfig	更新配置	/api/simulation-configs/{id}	PUT	Path: id; Body: SimulationConfig	Result<Void>
SimulationConfig	删除配置	/api/simulation-configs/{id}	DELETE	Path: id	Result<Void>
SimulationConfig	设为默认	/api/simulation-configs/{id}/set-default	PUT	Path: id	Result<Void>
Dashboard	统计概览	/api/dashboard/stats	GET	无	Result<DashboardStats>
Dashboard	水质趋势	/api/dashboard/water-quality/trend	GET	Query: reservoirId?, startDate?, endDate?	Result<List<WaterQualityTrend>>
Dashboard	最新预警	/api/dashboard/warnings/latest	GET	Query: limit(默认5)	Result<List<WarningRecord>>
Dashboard	巡检统计	/api/dashboard/patrol/stats	GET	Query: date?	Result<Map<String, Object>>
Map	地图要素 GeoJSON	/api/map/features	GET	Query: type?	{ type, data, message }
Map	水库点位 GeoJSON	/api/map/features/reservoirs	GET	无	{ data: GeoJSON }
Map	监测点 GeoJSON	/api/map/features/monitor-points	GET	Query: reservoirName?	{ data: GeoJSON }
